;GmlId;objectid;cd_snisb;nm_barragem;nm_secundario;uso_principal;uf;municipio;risco;dano_potencial;nm_empreendedor;tp_empreendedor;org_fiscalizador;cd_bar_fiscalizador;regulada_pnsb;nm_autorizacao;pae;psb;rev_periodica;dt_ult_fiscalizacao;barragem_autuada;altura_fundacao_m;altura_terreno_m;capacidade_hm3;comp_coroamento_m;tp_material;uso_complementar;cd_curso_agua_barrado;nm_curso_agua;regiao_hidrografica;unidade_gestao;dt_ult_inspecao;tp_ult_inspecao;nv_perigo_global;possui_eclusa;fase_vida;latitude;longitude;completude_dados;barragem_outorgada;empreendedor_identificado;info_altura;maior_altura;faixa_altura;info_volume;fx_volume;info_altura_volume;classificada_cri;classificada_dpa;inspecao;fiscalização;mais_preocupa;n;sequencia;cd_ibge;nome_mun;corede;regiao_func;Shape
3;Cadastro_SNISB_20230720.4;4;6514.0;AUD - Associação dos Usuários do Perímetro de Irrigação do Arroio Duro;;Irrigação;RS;CAMAQUÃ;Médio;Alto;AUD - Associação dos Usuários do Perímetro de Irrigação do Arroio Duro;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;2019/002.491;Sim;O-001.810/2020;Não;Não;Não;43559.0;Não;26;26.0;170.0;0.0;Terra;Recreação;79758.0;Arroio Duro;Região Hidrográfica ATLÂNTICO SUL;Camaquã;;;;Não;;-30.82069;-51.84369;boa;Sim;Sim;Sim;26.0;"15 m &lt; h &lt; 30 m";Sim;Grande;Sim;Sim;Sim;Não;Não;sim;1;21497.0;4303509;Camaquã;Centro Sul;1;POINT (-51.84369000 -30.82069000)
11;Cadastro_SNISB_20230720.12;12;184.0;0550/2008;;Irrigação;RS;TAPES;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;420500073;Sim;0550/2008;;Não;Não;;Não;4,2;4.2;0.1;0.0;Sem Informação;;797382.0;SEM NOME;Região Hidrográfica ATLÂNTICO SUL;Camaquã;;;;;;-30.66944;-51.51917;mínima;Sim;Sim;Sim;4.2;"h &lt; 7,5 m";Sim;Pequena até 1 hm³;Sim;Não;Sim;Não;Não;Não;1;14.0;4321105;Tapes;Centro Sul;1;POINT (-51.51917000 -30.66944000)
12;Cadastro_SNISB_20230720.13;13;280.0;1253/07;;Irrigação;RS;CAMAQUÃ;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;50020500072;Sim;1253/07;;Não;Não;;Não;4,73;4.73;0.36;0.0;Sem Informação;;79752.0;SEM NOME;Região Hidrográfica ATLÂNTICO SUL;Camaquã;;;;;;-30.80833;-51.74528;mínima;Sim;Sim;Sim;4.73;"h &lt; 7,5 m";Sim;Pequena até 1 hm³;Sim;Não;Sim;Não;Não;Não;1;15.0;4303509;Camaquã;Centro Sul;1;POINT (-51.74528000 -30.80833000)
13;Cadastro_SNISB_20230720.14;14;163.0;261/14;;Irrigação;RS;ROSÁRIO DO SUL;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;0.0;Sim;261/14;;Não;Não;;Não;7;7.0;0.8;0.0;Sem Informação;;826832.0;Sanga dos Varejões;Região Hidrográfica do URUGUAI;Santa Maria;;;;;;-30.58028;-54.78722;mínima;Sim;Sim;Sim;7.0;"h &lt; 7,5 m";Sim;Pequena até 1 hm³;Sim;Não;Sim;Não;Não;Não;1;18.0;4316402;Rosário do Sul;Fronteira Oeste;6;POINT (-54.78722000 -30.58028000)
14;Cadastro_SNISB_20230720.15;15;235.0;0676/11;;Irrigação;RS;TAPES;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;40490567109;Sim;0676/11;;Não;Não;;Não;3;3.0;1.07;0.0;Sem Informação;;79742.0;SEM NOME;Região Hidrográfica ATLÂNTICO SUL;Camaquã;;;;;;-30.82861;-51.51667;mínima;Sim;Sim;Sim;3.0;"h &lt; 7,5 m";Sim;Pequena entre 1 e 3 hm³;Sim;Não;Sim;Não;Não;Não;1;20.0;4321105;Tapes;Centro Sul;1;POINT (-51.51667000 -30.82861000)
15;Cadastro_SNISB_20230720.16;16;347.0;0787/06;;Irrigação;RS;ARROIO GRANDE;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;1,2615050005e+11;Sim;0787/06;;Não;Não;;Não;6,4;6.4;2.56;0.0;Sem Informação;;798312.0;SEM NOME;Região Hidrográfica ATLÂNTICO SUL;Mirim São Gonçalo;;;;;;-31.99611;-52.57972;mínima;Sim;Sim;Sim;6.4;"h &lt; 7,5 m";Sim;Pequena entre 1 e 3 hm³;Sim;Não;Sim;Não;Não;Não;1;24.0;4301305;Arroio Grande;Sul;5;POINT (-52.57972000 -31.99611000)
18;Cadastro_SNISB_20230720.19;19;242.0;0865/06;;Irrigação;RS;CRISTAL;Não Classificado;Alto;Corticeiras Empreendimentos e Participações LTDA;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;96260500059;Sim;0865/06;;Não;Não;;Não;5,13;5.13;4.58;0.0;Sem Informação;;797616.0;SEM NOME;Região Hidrográfica ATLÂNTICO SUL;Camaquã;;;;;;-30.9625;-51.95556;média;Sim;Sim;Sim;5.13;"h &lt; 7,5 m";Sim;Pequena entre 3 e 5 hm³;Sim;Não;Sim;Não;Não;Não;1;29.0;4306056;Cristal;Centro Sul;1;POINT (-51.95556000 -30.96250000)
19;Cadastro_SNISB_20230720.20;20;180.0;0542/11;;Irrigação;RS;SÃO LOURENÇO DO SUL;Não Classificado;Alto;Sol Agrícola Ltda;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;1,2186056711e+11;Sim;0542/11;;Não;Não;;Não;5;5.0;0.08;0.0;Sem Informação;;797614.0;Arroio Santa Isabel;Região Hidrográfica ATLÂNTICO SUL;Camaquã;;;;Não;;-31.16917;-51.95528;média;Sim;Sim;Sim;5.0;"h &lt; 7,5 m";Sim;Pequena até 1 hm³;Sim;Não;Sim;Não;Não;Não;1;31.0;4318804;São Lourenço do Sul;Sul;5;POINT (-51.95528000 -31.16917000)
26;Cadastro_SNISB_20230720.27;27;79.0;Barragem II;Usina Termelétrica de Candiota III - Fase C;Industrial;RS;CANDIOTA;Baixo;Alto;Companhia de Geração Térmica de Energia Elétrica;Órgãos - Público;Agência Nacional de Águas e Saneamento Básico - ANA;129;Sim;4512012;Sim;Sim;Sim;43661.0;Não;25;24.0;16.0;195.0;Terra;;7984.0;Arroio Candiota;Região Hidrográfica ATLÂNTICO SUL;Mirim São Gonçalo;44229.0;Regular;Normal;;;-31.541;-53.67139;boa;Sim;Sim;Sim;25.0;"15 m &lt; h &lt; 30 m";Sim;Média;Sim;Sim;Sim;Não;Não;Não;1;44.0;4304358;Candiota;Campanha;6;POINT (-53.67139000 -31.54100000)
35;Cadastro_SNISB_20230720.36;36;538.0;1673/2009;;Irrigação;RS;SÃO VICENTE DO SUL;Não Classificado;Alto;Sem Informação;Sem Informação;RS - Secretaria de Meio Ambiente e Infraestrutura - SEMA;85480567092;Sim;1673/2009;;Não;Não;;Não;5,5;5.5;0.06;0.0;Sem Informação;;826632.0;SEM NOME;Região Hidrográfica do URUGUAI;Ibicuí;;;;;;-29.61806;-54.53;mínima;Sim;Sim;Sim;5.5;"h &lt; 7,5 m";Sim;Pequena até 1 hm³;Sim;Não;Sim;Não;Não;Não;1;66.0;4319802;São Vicente do Sul;Vale do Jaguarí;8;POINT (-54.53000000 -29.61806000)
