objectid;restricao;escola;codigo_inep;municipio;localizacao;localidade_dif;endereco;telefone;porte_escola;etapas_modalidade;outras_ofertas_educ;latitude;longitude;cre;classif_porte;cod_idt;tp;cod_ibge_mun;ens_medio_tempo_integral;tp_risco
25;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN SAO PIO X;43075045;Bozano;Rural;A escola não está em área de localização diferenciada;R ACHILES CERVI, 11 PREDIO. VILA SALTO. 98733-000 Bozano - RS.;;Até 50 matrículas de escolarização;Ensino Fundamental;;-28.17687553;-52.03409268;36;2;7504;Escola Regular;4302584;0;Sem Risco Mapeado
37;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;E E IND ENS FUN ARASATY;43002455;Guaíba;Rural;Terra indígena;TRV TRAVESSA PETIM S/INF 00, S/INF 00. PASSO FUNDO. 92729-180 Guaíba - RS.;;Até 50 matrículas de escolarização;Ensino Fundamental;;-29.71123;-53.71713;12;2;21327;Escola Indígena;4309308;0;Sem Risco Mapeado
47;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS MED DE ITAARA;43211739;Itaara;Rural;A escola não está em área de localização diferenciada;R GUILHERME KURTZ 585 BLOCO 1E2, 585 BLOCO 1E2. PARQUE SERRANO II. 97185-000 Itaara - RS.;(55) 32271157;Entre 51 e 200 matrículas de escolarização;Ensino Médio;Atendimento Educacional Especializado;-29.1196804;-51.1272697;8;3;19040;Escola Regular;4310538;0;Sem Risco Mapeado
56;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN PADRE AMSTAD;43091857;Nova Petrópolis;Urbana;A escola não está em área de localização diferenciada;R ANTONIO SCHOELER 2036, 2036 LINHA IMPERIAL. 95150-000 Nova Petrópolis - RS.;(54) 32981244;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-27.33397624;-53.06313523;4;3;9185;Escola Regular;4313201;0;Sem Risco Mapeado
59;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;NUCL E EJA E CP DESEMBARGADOR ALAOR ANTONIO TERRA;43169279;Porto Alegre;Urbana;A escola não está em área de localização diferenciada;AV ROCCIO 1100, 1100 PARTENON. 91510-090 Porto Alegre - RS.;(51) 32884367;Entre 51 e 200 matrículas de escolarização;Educação de Jovens Adultos;;-30.08386;-51.20055;1;3;16927;Escola Prisional;4314902;0;Sem Risco Mapeado
62;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS MED ROCHA VIEIRA;43123201;Dilermando de Aguiar;Urbana;A escola não está em área de localização diferenciada;R INDEPENDENCIA 106, 106 CENTRO. 97180-000 Dilermando de Aguiar - RS.;;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos;Atendimento Educacional Especializado;-29.43373441;-51.91206516;8;3;12320;Escola Regular;4306379;0;Sem Risco Mapeado
63;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN MONSENHOR COSTABILE HIPOLITO;43019854;Bagé;Urbana;A escola não está em área de localização diferenciada;R CONDE DE PORTO ALEGRE 99, 99 CENTRO. 96400-280 Bagé - RS.;(53) 32472644;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental, Educação de Jovens Adultos;;-29.48326476;-49.84177123;13;3;1985;Escola Regular;4301602;0;Sem Risco Mapeado
74;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN ABRAMO RANDON;43042961;Caxias do Sul;Urbana;A escola não está em área de localização diferenciada;R RUA PROFESSORA VIERO 400, 400 MADUREIRA. 95040-520 Caxias do Sul - RS.;(54) 974002338;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;;-27.8668354;-54.4706454;4;3;4296;Escola Regular;4305108;0;Risco de Movimento de Massa
75;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;NUCL E EJA E CP P FREIRE;43170943;Santa Rosa;Urbana;A escola não está em área de localização diferenciada;R RUA IRMA GILBERTA 265 S/INF, 265 S/INF. PLANALTO. 98794-062 Santa Rosa - RS.;;Entre 51 e 200 matrículas de escolarização;Educação de Jovens Adultos;;-29.57265769;-51.68220905;17;3;17094;Escola Prisional;4317202;0;Sem Risco Mapeado
76;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;INST EST EDUC AIMONE SOARES CARRICONDE;43017517;Arroio Grande;Urbana;A escola não está em área de localização diferenciada;R LEONEL FAGUNDES 63, 63 CENTRO. 96330-000 Arroio Grande - RS.;(53) 32621992;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio, Educação Profissional;Atendimento Educacional Especializado;-27.90747995;-52.27198128;5;5;1751;Escola Regular;4301305;0;Sem Risco Mapeado
81;ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESC EST ENS FUN BRIGIDA DO NASCIMENTO;43165451;Venâncio Aires;Urbana;A escola não está em área de localização diferenciada;R GENERAL OSORIO 2251 CASA, 2251 CASA. BRIGIDA. 95800-000 Venâncio Aires - RS.;(51) 37415704;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-28.2768826;-52.1970685;6;3;16545;Escola Regular;4322608;0;Sem Risco Mapeado
