objectid;cod_ibge;cod_ses;cod_regiao_uf;macrorregiao_saude;regiao_saude;nome_regiao_saude;crs;municipio;cod_cnes;nome_da_unidade;telefone;nome_razao_social;cod_tipo_un;ds_tipo_un;ds_natureza;tp_gestao;latitude;longitude;equipamento;complemento;cep;endereco;adulto_leito_uti;status
180;4316006;431600;462;Metropolitana;6;REGIÃO 06 - VALE DO PARANHANA E COSTA SERRA;01ª CRS;Rolante;2257564;FUNDACAO HOSPITALAR DE ROLANTE;;FUNDACAO HOSPITALAR DE ROLANTE;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-29.65307;-50.575823;Hospital; ;95690-000;RUA CARLOS HUFF, 150 - CENTRO;;ATIVO
137;4315008;431500;470;Missioneira;14;REGIÃO 14 - FRONTEIRA NOROESTE;14ª CRS;Porto Lucena;2250810;HOSPITAL SAO JOSE PORTO LUCENA RS;;SOCIEDADE HOSPITAL SAO JOSE;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;DUPLA;-27.857193;-55.011288;Hospital;CASA;98980-000;AVN ALMIRANTE GUILHOBEL, 87 - CENTRO;;ATIVO
172;4300646;430064;471;Norte;15;REGIÃO 15 - CAMINHO DAS ÁGUAS;02ª CRS;Ametista do Sul;2228629;HOSPITAL SAO GABRIEL AMETISTA DO SUL;;SOCIEDADE HOSPITALAR S GABRIEL AMETISTA DO SUL;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-27.366095;-53.176949;Hospital; ;98465-000;RUA JOAO DE LUCA, 339 - JOAO DE LUCA;;ATIVO
174;4313409;431340;463;Metropolitana;7;REGIÃO 07 - VALE DOS SINOS;01ª CRS;Novo Hamburgo;2232146;FUNDACAO DE SAUDE PUBLICA DE NOVO HAMBURGO FSNH;;FUNDACAO DE SAUDE PUBLICA DE NOVO HAMBURGO FSNH;5;HOSPITAL GERAL;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.675048;-51.131987;Hospital; ;93310-003;AVN PEDRO ADAMS FILHO, 6520 - OPERARIO;10.0;ATIVO
191;4307005;430700;472;Norte;16;REGIÃO 16 - ALTO URUGUAI GAÚCHO;11ª CRS;Erechim;9142118;SANTA MONICA HOSPITAL;;HOSPITAL SANTA MONICA LTDA;5;HOSPITAL GERAL;ENTIDADES EMPRESARIAIS;MUNICIPAL;-27.636636;-52.282731;Hospital;SALA 103;99711-010;RUA ITALIA, 878 - ESPIRITO SANTO;;ATIVO
208;4314704;431470;471;Norte;15;REGIÃO 15 - CAMINHO DAS ÁGUAS;02ª CRS;Planalto;2228556;HOSPITAL MEDIANEIRA PLANALTO;;ASSOCIACAO BENEFICIENTE NOSSA SENHORA MEDIANEIRA;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-27.333406;-53.061844;Hospital; ;98470-000;RUA HUMBERTO DE CAMPOS, 661 - CCENTRO;;ATIVO
214;4318200;431820;462;Metropolitana;6;REGIÃO 06 - VALE DO PARANHANA E COSTA SERRA;01ª CRS;São Francisco de Paula;2227770;HOSPITAL SAO FRANCISCO DE PAULA;;HOSPITAL SAO FRANCISCO DE PAULA;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-29.448053;-50.583489;Hospital; ;95400-000;RUA FREDERICO TEDESCO, 117 - CENTRO;;ATIVO
224;4316907;431690;457;Centro-Oeste;1;REGIÃO 01 - VERDES CAMPOS;04ª CRS;Santa Maria;2244292;HOSPITAL SAO FRANCISCO DE ASSIS SANTA MARIA;;ASSOCIACAO FRANCISCANA DE ASSISTENCIA A SAUDE;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;MUNICIPAL;-29.69565;-53.791378;Hospital; ;97060-360;RUA JOANA DARC, 465 - N S DE LOURDES;10.0;ATIVO
225;4308003;430800;457;Centro-Oeste;1;REGIÃO 01 - VERDES CAMPOS;04ª CRS;Faxinal do Soturno;2244101;HOSPITAL DE CARIDADE SAO ROQUE FAXINAL DO SOTURNO;;HOSPITAL DE CARIDADE SAO ROQUE;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-29.576934;-53.438927;Hospital; ;97220-000;RUA DONA CECI LEITE COSTA, 1266 - CENTRO;;ATIVO
232;4316907;431690;457;Centro-Oeste;1;REGIÃO 01 - VERDES CAMPOS;04ª CRS;Santa Maria;9575936;HOSPITAL REGIONAL DE SANTA MARIA;;SECRETARIA DA SAUDE;5;HOSPITAL GERAL;ADMINISTRAÇÃO PÚBLICA;ESTADUAL;-29.705929;-53.863242;Hospital; ;97030-220;RUA FLORIANOPOLIS, 1041 - PINHEIRO MACHADO;;ATIVO
244;4310801;431080;463;Metropolitana;7;REGIÃO 07 - VALE DOS SINOS;01ª CRS;Ivoti;2232189;HOSPITAL SAO JOSE IVOTI;;ASSOCIACAO CONGREGACAO DE SANTA CATARINA;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-29.591931;-51.160288;Hospital; ;93900-000;AV PRESIDENTE LUCENA, 3598 - CENTRO;;ATIVO
254;4314209;431420;477;Sul;21;REGIÃO 21 - SUL;03ª CRS;Pedro Osório;2233339;SANTA CASA DE MISERICORDIA DE PEDRO OSORIO;;SANTA CASA DE MISERICORDIA DE PEDRO OSORIO;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-31.864258;-52.823122;Hospital; ;96360-000;RUA ARZELINDO FERREIRA, 33 - CENTRO;;ATIVO
255;4320107;432010;476;Norte;20;REGIÃO 20 - ROTA DA PRODUÇÃO;15ª CRS;Sarandi;2235404;HOSPITAL COMUNITARIO SARANDI;;HOSPITAL COMUNITARIO SARANDI;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-27.941057;-52.927805;Hospital;CAS;99560-000;COSMO FAVRETTO, 676 - CENTRO;;ATIVO
260;4301602;430160;478;Sul;22;REGIÃO 22 - PAMPA;07ª CRS;Bagé;2261987;SANTA CASA DE CARIDADE DE BAGE;;SANTA CASA DE CARIDADE DE BAGE;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;ESTADUAL;-31.326318;-54.111048;Hospital;CASA;96400-130;RUA GOMES CARNEIRO, 1350 - CENTRO;;ATIVO
264;4313904;431390;469;Missioneira;13;REGIÃO 13 - DIVERSIDADE;17ª CRS;Panambi;2254956;HOSPITAL PANAMBI;;SOCIEDADE HOSPITAL PANAMBI;5;HOSPITAL GERAL;ENTIDADES SEM FINS LUCRATIVOS;MUNICIPAL;-28.289957;-53.49228;Hospital; ;98280-000;RUA BENJAMIN CONSTANT, 490 - MEDIANEIRA;;ATIVO
