objectid;cod_ibge;cod_ses;cod_regiao_uf;macrorregiao_saude;regiao_saude;nome_regiao_saude;crs;municipio;cod_cnes;nome_da_unidade;telefone;nome_razao_social;cod_tipo_un;ds_tipo_un;ds_natureza;tp_gestao;latitude;longitude;equipamento;pics;rbc;raps;complemento;cep;endereco;status;tp_rede_raps
122;4307005;430700;472;Norte;16;REGIÃO 16 - ALTO URUGUAI GAÚCHO;11ª CRS;Erechim;2249081;POSTO DO PRESIDIO ESTADUAL DE ERECHIM;;PREFEITURA MUNICIPAL DE ERECHIM;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-27.63129825;-52.26379946;UBS;0;0;Sem dispositivo específico de saúde mental;;99700-970;RUA JACINTO GODOI, 38 - CENTRO;ATIVO;Atenção Básica
123;4306809;430680;485;Vales;29;REGIÃO 29 - VALES E MONTANHAS;16ª CRS;Encantado;6939228;POSTO DE SAUDE DO PLANALTO;;PREFEITURA MUNICIPAL DE ENCANTADO;1;POSTO DE SAUDE;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.2269916;-51.8864601;UBS;1;1;Sem dispositivo específico de saúde mental;;95960-000;RUA BAGE, 85 - PLANALTO;ATIVO;Atenção Básica
124;4322608;432260;484;Vales;28;REGIÃO 28 - VINTE E OITO;13ª CRS;Venâncio Aires;2235951;POSTO DE SAUDE MARIANTE;;PREFEITURA MUNICIPAL DE VENANCIO AIRES;1;POSTO DE SAUDE;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.6964876;-51.9699988;UBS;0;0;OT;;95800-000;VILA MARIANTE, S/N - INTERIOR;ATIVO;Atenção Básica
125;4305454;430545;461;Metropolitana;5;REGIÃO 05 - BONS VENTOS;18ª CRS;Cidreira;2257270;UNIDADE DE SAUDE DA FAMILIA DUNAS CLARAS;;PREFEITURA MUNICIPAL DE CIDREIRA;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-30.1899028;-50.2107599;UBS;1;0;Sem dispositivo específico de saúde mental;;95595-000;RUA OSVALDO ARANHA, 2569 - CENTRO;ATIVO;Atenção Básica
126;4314902;431490;466;Metropolitana;10;REGIÃO 10 - CAPITAL E VALE DO GRAVATAÍ;01ª CRS;Porto Alegre;2264900;UNIDADE DE SAUDE BATISTA FLORES;;PREFEITURA MUNICIPAL DE PORTO ALEGRE;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-30.02791343;-51.10398577;UBS;1;0;Sem dispositivo específico de saúde mental;;91250-105;RUA SERAFIM MACHADO, 215 - MARIO QUINTANA;ATIVO;Atenção Básica
127;4307609;430760;463;Metropolitana;7;REGIÃO 07 - VALE DOS SINOS;01ª CRS;Estância Velha;5417317;USF BELA VISTA;;MUNICIPIO DE ESTANCIA VELHA;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.6600631;-51.1916103;UBS;1;0;Sem dispositivo específico de saúde mental;;93614-140;RUA JAPAO, 105 - BELA VISTA;ATIVO;Atenção Básica
129;4310009;431000;468;Missioneira;12;REGIÃO 12 - PORTAL DAS MISSÕES;09ª CRS;Ibirubá;2263254;POSTO DE SAUDE VILA HERMANY;;PREFEITURA MUNICIPAL DE IBIRUBA;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-28.63340006;-53.11770959;UBS;1;1;Sem dispositivo específico de saúde mental;;98200-000;RUA GENERAL OSORIO, S/N - HERMANY;ATIVO;Atenção Básica
131;4322400;432240;459;Centro-Oeste;3;REGIÃO 03 - FRONTEIRA OESTE;10ª CRS;Uruguaiana;2247356;UNIDADE DE SAUDE PLANO ALTO 12;;PREFEITURA MUNICIPAL DE URUGUAIANA;1;POSTO DE SAUDE;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.766031;-56.523351;UBS;0;0;Sem dispositivo específico de saúde mental;;97501-974;RUA 2, 268 - PLANO ALTO;ATIVO;Atenção Básica
132;4312617;431261;480;Serra;24;REGIÃO 24 - CAMPOS DE CIMA DA SERRA;05ª CRS;Muitos Capões;2240394;POSTO DE SAUDE DE MUITOS CAPOES;;PREFEITURA MUNICIPAL DE MUITOS CAPOES;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-28.3168324;-51.1847136;UBS;0;1;Sem dispositivo específico de saúde mental;;95230-000;RUA DORVAL ANTUNES PEREIRA, 500 - CENTRO;ATIVO;Atenção Básica
133;4314803;431480;463;Metropolitana;7;REGIÃO 07 - VALE DOS SINOS;01ª CRS;Portão;2229587;POSTO VILA RICA PORTAO ESF 4;;PREFEITURA MUNICIPAL DE PORTAO;2;CENTRO DE SAUDE/UNIDADE BASICA;ADMINISTRAÇÃO PÚBLICA;MUNICIPAL;-29.6909784;-51.21971;UBS;0;0;Sem dispositivo específico de saúde mental;;93180-000;RUA TULIPAS, 7 - VILA RICA;ATIVO;Atenção Básica
